City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
159,Maxixe,-23.8597,35.3472,73.33,94,100,1.88,MZ
160,Placido De Castro,-10.3353,-67.1856,82.94,54,90,3.31,BR
161,Lewistown,40.5992,-77.5714,40.19,79,40,5.75,US
162,Provideniya,64.3833,-173.3,15.91,53,0,7.0,RU
163,Kandrian,-6.2167,149.55,86.16,67,98,5.37,PG
164,Aswan,24.0934,32.907,69.67,32,7,10.27,EG
165,Barkhan,29.8977,69.5256,57.24,60,28,0.89,PK
166,Lorengau,-2.0226,147.2712,82.67,76,100,7.63,PG
167,Nizwa,22.9333,57.5333,71.2,46,0,3.89,OM
168,Lipin Bor,60.2622,37.9763,30.22,77,29,13.15,RU
169,Sobolevo,54.4299,31.8996,40.19,70,100,10.74,RU
170,Miraflores,19.2167,-98.8083,66.87,86,11,4.79,MX
171,Klaksvik,62.2266,-6.589,50.92,97,100,17.16,FO
172,Ingham,42.6,-84.3833,33.98,72,12,6.73,US
173,Ribeira Grande,38.5167,-28.7,66.78,88,100,21.0,PT
174,La Paz,-16.5,-68.15,49.82,33,0,2.66,BO
175,Laguna,38.421,-121.4238,59.09,44,0,5.75,US
176,Tulum,20.2167,-87.4667,77.76,76,94,7.36,MX
177,Tiksi,71.6872,128.8694,-8.52,99,100,8.84,RU
178,Tual,-5.6667,132.75,84.42,70,100,9.91,ID
179,Mangan,27.5167,88.5333,58.35,45,0,5.61,IN
180,Mana,5.6592,-53.7767,78.6,86,100,11.36,GF
181,Kavaratti,10.5669,72.642,80.74,79,94,10.31,IN
182,Vila Velha,-20.3297,-40.2925,76.95,88,75,11.5,BR
183,Lumeje,-11.55,20.7833,65.68,91,82,4.18,AO
184,Esperance,-33.8667,121.9,57.04,59,37,11.32,AU
185,Olafsvik,64.8945,-23.7142,44.94,93,100,10.54,IS
186,Manono,-7.3,27.4167,65.66,97,97,1.01,CD
187,Sao Sebastiao,-23.76,-45.4097,71.2,92,67,6.08,BR
188,Katsuura,35.1333,140.3,62.62,56,89,23.17,JP
189,Lavrentiya,65.5833,-171.0,15.15,67,0,5.32,RU
190,Sainte-Marie,-20.8968,55.5496,71.76,85,75,9.22,RE
191,Khorramshahr,30.4397,48.1664,64.36,82,1,0.0,IR
192,Sambava,-14.2667,50.1667,68.97,89,8,5.99,MG
193,Capitan Bado,-23.2667,-55.5333,66.38,97,33,3.53,PY
194,Henties Bay,-22.116,14.2845,57.11,93,1,4.27,NA
195,Brae,60.3964,-1.353,52.48,92,100,21.47,GB
196,Okhotsk,59.3833,143.3,8.69,75,26,11.54,RU
197,Hobyo,5.3505,48.5268,79.65,76,5,10.85,SO
198,Ginir,7.1333,40.7,53.26,78,0,3.36,ET
199,Agua Prieta,31.3,-109.5667,60.37,36,0,16.44,MX
200,Lasa,46.6166,10.7002,47.28,98,100,4.9,IT
201,Ancud,-41.8697,-73.8203,53.15,91,100,14.74,CL
202,Avarua,-21.2078,-159.775,77.05,57,75,12.66,CK
203,Yuanping,38.7153,112.7575,39.18,43,2,1.81,CN
204,Cherskiy,68.75,161.3,-5.24,98,100,3.87,RU
205,Palauig,15.435,119.9045,85.51,66,89,1.95,PH
206,Orchard Homes,46.8633,-114.0484,28.54,77,100,11.5,US
207,Hermanus,-34.4187,19.2345,53.8,86,19,7.4,ZA
208,Hasaki,35.7333,140.8333,63.0,60,95,25.01,JP
209,Tilichiki,60.4667,166.1,20.91,96,100,8.14,RU
210,Valdivia,-39.8142,-73.2459,57.29,90,100,3.91,CL
211,Santarem,-2.4431,-54.7083,84.33,79,0,5.75,BR
212,Tezu,27.9167,96.1667,63.21,53,0,3.44,IN
213,Taoudenni,22.6783,-3.9836,74.62,18,7,11.92,ML
214,Grand Gaube,-20.0064,57.6608,72.37,70,16,1.99,MU
215,Pakxe,15.1167,105.7833,78.94,83,40,2.3,LA
216,Cidreira,-30.1811,-50.2056,68.2,96,100,19.86,BR
217,Catarman,12.4989,124.6377,83.25,82,76,10.29,PH
218,Kavieng,-2.5744,150.7967,84.88,70,100,13.98,PG
219,Mattru,7.6244,-11.8332,73.62,97,100,2.33,SL
220,Alamosa,37.4695,-105.87,42.78,36,100,10.36,US
221,Broken Hill,-31.95,141.4333,63.79,55,95,25.61,AU
222,Conakry,9.538,-13.6773,78.87,89,40,4.61,GN
223,Lucapa,-8.4192,20.7447,65.35,98,100,2.42,AO
224,Los Llanos De Aridane,28.6585,-17.9182,68.13,51,20,8.05,ES
225,Tura,25.5198,90.2201,61.84,87,0,3.74,IN
226,Iqaluit,63.7506,-68.5145,17.33,85,75,3.44,CA
227,The Valley,18.217,-63.0578,81.1,89,20,13.8,AI
228,Yashkul,46.1711,45.3435,48.06,65,100,22.48,RU
229,Yenangyaung,20.4667,94.8833,71.58,72,0,6.11,MM
230,Kruisfontein,-34.0033,24.7314,54.72,79,0,5.73,ZA
231,Guerrero Negro,27.9769,-114.0611,62.56,65,0,16.71,MX
232,Tabou,4.423,-7.3528,78.01,87,68,6.73,CI
233,Bathsheba,13.2167,-59.5167,79.41,94,75,13.8,BB
234,Margate,51.3813,1.3862,54.9,90,6,3.0,GB
235,Kungurtug,50.5994,97.5228,10.47,92,79,2.26,RU
236,Liepaja,56.5419,21.0367,31.98,93,0,3.44,LV
237,Tasiilaq,65.6145,-37.6368,39.36,94,100,33.04,GL
238,Den Helder,52.9599,4.7593,42.78,93,0,12.66,NL
239,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,75.61,87,99,0.51,BR
240,Bonavista,48.6499,-53.1147,32.56,72,91,4.9,CA
241,Hay River,60.8156,-115.7999,23.18,91,10,7.54,CA
242,Yar-Sale,66.8333,70.8333,0.48,90,100,9.42,RU
243,Sungaipenuh,-2.0833,101.3833,64.83,99,100,1.19,ID
244,Jacqueville,5.2052,-4.4146,79.56,83,97,6.85,CI
245,Auki,-8.7676,160.7034,85.98,62,38,4.21,SB
246,Kutum,14.2,24.6667,61.21,28,2,6.64,SD
247,Chara,56.9064,118.2631,9.32,75,100,0.92,RU
248,Leningradskiy,69.3833,178.4167,-11.22,98,43,6.24,RU
249,Bambous Virieux,-20.3428,57.7575,72.21,83,75,3.44,MU
250,Bindura,-17.3019,31.3306,66.45,85,100,0.98,ZW
251,Hukuntsi,-24.0,21.75,64.65,30,0,10.42,BW
252,Narsaq,60.9167,-46.05,50.22,62,100,8.32,GL
253,Uvarovka,55.5278,35.6061,35.71,76,97,11.9,RU
254,Menongue,-14.6585,17.691,67.03,48,24,3.98,AO
255,Kroya,-7.6331,109.2461,80.82,82,87,0.89,ID
256,Malinovoye Ozero,51.6753,79.7825,32.63,71,100,17.72,RU
257,Kupang,-10.1667,123.5833,85.62,69,100,4.5,ID
258,Liverpool,53.4106,-2.9779,52.75,95,100,6.91,GB
259,Quatre Cocos,-20.2078,57.7625,72.09,76,47,3.53,MU
260,Itaituba,-4.2761,-55.9836,80.04,68,56,2.8,BR
261,Kodiak,57.79,-152.4072,42.31,61,40,3.44,US
262,Roebourne,-20.7833,117.1333,82.78,46,0,12.8,AU
263,Hamilton,39.1834,-84.5333,37.09,73,100,4.61,US
264,Porlamar,10.958,-63.8491,80.49,85,100,13.78,VE
265,Northam,51.0333,-4.2167,57.38,94,85,13.8,GB
266,Clyde River,70.4692,-68.5914,-0.17,85,100,12.66,CA
267,Findlay,41.0442,-83.6499,36.25,78,100,5.75,US
268,Arcata,40.8665,-124.0828,51.19,83,0,3.44,US
269,Sokolo,14.7328,-6.1219,83.68,25,84,7.74,ML
270,Mar Del Plata,-38.0023,-57.5575,64.87,98,100,6.91,AR
271,Khash,28.2211,61.2158,52.77,64,27,4.88,IR
272,Odweyne,9.4092,45.064,66.11,33,0,12.19,SO
273,Austin,30.2672,-97.7431,53.83,46,75,8.01,US
274,Gannan,47.9147,123.5031,26.74,56,89,3.24,CN
275,Baykit,61.67,96.37,-0.13,96,100,9.46,RU
276,Lagunas,-5.2269,-75.6753,81.79,63,100,4.12,PE
277,Kahului,20.8947,-156.47,84.22,66,40,21.85,US
278,Mollendo,-17.0231,-72.0147,64.24,82,54,7.02,PE
279,Port Blair,11.6667,92.75,77.04,88,40,2.3,IN
