City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
160,Placido De Castro,BR,82.94,-10.3353,-67.1856,
161,Lewistown,US,40.19,40.5992,-77.5714,
162,Provideniya,RU,15.91,64.3833,-173.3,
163,Kandrian,PG,86.16,-6.2167,149.55,
164,Aswan,EG,69.67,24.0934,32.907,
165,Barkhan,PK,57.24,29.8977,69.5256,
166,Lorengau,PG,82.67,-2.0226,147.2712,
167,Nizwa,OM,71.2,22.9333,57.5333,
168,Lipin Bor,RU,30.22,60.2622,37.9763,
169,Sobolevo,RU,40.19,54.4299,31.8996,
170,Miraflores,MX,66.87,19.2167,-98.8083,
171,Klaksvik,FO,50.92,62.2266,-6.589,
172,Ingham,US,33.98,42.6,-84.3833,
173,Ribeira Grande,PT,66.78,38.5167,-28.7,
174,La Paz,BO,49.82,-16.5,-68.15,
175,Laguna,US,59.09,38.421,-121.4238,
176,Tulum,MX,77.76,20.2167,-87.4667,
177,Tiksi,RU,-8.52,71.6872,128.8694,
178,Tual,ID,84.42,-5.6667,132.75,
179,Mangan,IN,58.35,27.5167,88.5333,
180,Mana,GF,78.6,5.6592,-53.7767,
181,Kavaratti,IN,80.74,10.5669,72.642,
182,Vila Velha,BR,76.95,-20.3297,-40.2925,
183,Lumeje,AO,65.68,-11.55,20.7833,
184,Esperance,AU,57.04,-33.8667,121.9,
185,Olafsvik,IS,44.94,64.8945,-23.7142,
186,Manono,CD,65.66,-7.3,27.4167,
187,Sao Sebastiao,BR,71.2,-23.76,-45.4097,
188,Katsuura,JP,62.62,35.1333,140.3,
189,Lavrentiya,RU,15.15,65.5833,-171.0,
190,Sainte-Marie,RE,71.76,-20.8968,55.5496,
191,Khorramshahr,IR,64.36,30.4397,48.1664,
192,Sambava,MG,68.97,-14.2667,50.1667,
193,Capitan Bado,PY,66.38,-23.2667,-55.5333,
194,Henties Bay,,57.11,-22.116,14.2845,
195,Brae,GB,52.48,60.3964,-1.353,
196,Okhotsk,RU,8.69,59.3833,143.3,
197,Hobyo,SO,79.65,5.3505,48.5268,
198,Ginir,ET,53.26,7.1333,40.7,
199,Agua Prieta,MX,60.37,31.3,-109.5667,
200,Lasa,IT,47.28,46.6166,10.7002,
201,Ancud,CL,53.15,-41.8697,-73.8203,
202,Avarua,CK,77.05,-21.2078,-159.775,
203,Yuanping,CN,39.18,38.7153,112.7575,
204,Cherskiy,RU,-5.24,68.75,161.3,
205,Palauig,PH,85.51,15.435,119.9045,
206,Orchard Homes,US,28.54,46.8633,-114.0484,
207,Hermanus,ZA,53.8,-34.4187,19.2345,
208,Hasaki,JP,63.0,35.7333,140.8333,
209,Tilichiki,RU,20.91,60.4667,166.1,
210,Valdivia,CL,57.29,-39.8142,-73.2459,
211,Santarem,BR,84.33,-2.4431,-54.7083,
212,Tezu,IN,63.21,27.9167,96.1667,
213,Taoudenni,ML,74.62,22.6783,-3.9836,
214,Grand Gaube,MU,72.37,-20.0064,57.6608,
215,Pakxe,LA,78.94,15.1167,105.7833,
216,Cidreira,BR,68.2,-30.1811,-50.2056,
217,Catarman,PH,83.25,12.4989,124.6377,
218,Kavieng,PG,84.88,-2.5744,150.7967,
219,Mattru,SL,73.62,7.6244,-11.8332,
220,Alamosa,US,42.78,37.4695,-105.87,
221,Broken Hill,AU,63.79,-31.95,141.4333,
222,Conakry,GN,78.87,9.538,-13.6773,
223,Lucapa,AO,65.35,-8.4192,20.7447,
224,Los Llanos De Aridane,ES,68.13,28.6585,-17.9182,
225,Tura,IN,61.84,25.5198,90.2201,
226,Iqaluit,CA,17.33,63.7506,-68.5145,
227,The Valley,AI,81.1,18.217,-63.0578,
228,Yashkul,RU,48.06,46.1711,45.3435,
229,Yenangyaung,MM,71.58,20.4667,94.8833,
230,Kruisfontein,ZA,54.72,-34.0033,24.7314,
231,Guerrero Negro,MX,62.56,27.9769,-114.0611,
232,Tabou,CI,78.01,4.423,-7.3528,
233,Bathsheba,BB,79.41,13.2167,-59.5167,
234,Margate,GB,54.9,51.3813,1.3862,
235,Kungurtug,RU,10.47,50.5994,97.5228,
236,Liepaja,LV,31.98,56.5419,21.0367,
237,Tasiilaq,GL,39.36,65.6145,-37.6368,
238,Den Helder,NL,42.78,52.9599,4.7593,
239,Sao Gabriel Da Cachoeira,BR,75.61,-0.1303,-67.0892,
240,Bonavista,CA,32.56,48.6499,-53.1147,
241,Hay River,CA,23.18,60.8156,-115.7999,
242,Yar-Sale,RU,0.48,66.8333,70.8333,
